artist_name,number_of_appearances,brand_id
Jarabe De Palo,49,1
Weezer,49,1
L'Impératrice,48,1
OMI,48,1
Ryan Castro,48,1
Thundercat,48,1
Neil Young,48,1
Sufjan Stevens,48,1
Zak Abel,48,1
MIKA,48,1
Róisín Murphy,48,1
bbno$,48,1
L.V.,48,1
Maren Morris,48,1
Kacey Musgraves,48,1
beabadoobee,48,1
Thalia,48,1
Dennis Lloyd,48,1
Emmit Fenn,48,1
Gipsy Kings,48,1
ACRAZE,48,1
A-Trak,48,1
Pearl Jam,48,1
Piso 21,48,1
Talking Heads,48,1
Surfaces,47,1
Matt Simons,47,1
Beéle,47,1
Nicki Nicole,47,1
NEIL FRANCES,47,1
Surf Mesa,47,1
Groove Armada,47,1
Electric Light Orchestra,47,1
CHIC,47,1
Dean Martin,47,1
Petit Biscuit,47,1
Parcels,47,1
Sixpence None The Richer,47,1
deadmau5,47,1
LISA,47,1
Stephen Sanchez,47,1
Conrad Sewell,47,1
London Symphony Orchestra,47,1
Tems,47,1
BENEE,47,1
Billy Idol,47,1
Pixies,47,1
Rick Astley,47,1
Lucenzo,47,1
Wisin & Yandel,47,1
Kate Bush,47,1
Survivor,46,1
Tony Bennett,46,1
Stan Getz,46,1
Hayden James,46,1
Timmy Trumpet,46,1
Lola Indigo,46,1
Astrud Gilberto,46,1
Craig David,46,1
Kah-Lo,46,1
Leona Lewis,46,1
Leonard Cohen,46,1
Naughty Boy,46,1
Panama,46,1
Little Dragon,46,1
Klangkarussell,46,1
Klingande,46,1
Alan Braxe,46,1
Erykah Badu,46,1
Brent Faiyaz,46,1
Hans Zimmer,46,1
Celeste,46,1
Ben Böhmer,46,1
Roddy Ricch,46,1
Ludovico Einaudi,46,1
Of Monsters and Men,46,1
Cherish,46,1
Nayer,46,1
Madison Beer,46,1
KC & The Sunshine Band,46,1
Conan Gray,46,1
The Smashing Pumpkins,46,1
Johann Sebastian Bach,45,1
Zerb,45,1
Two Door Cinema Club,45,1
alt-J,45,1
Raffaella Carrà,45,1
Emilia,45,1
Al Green,45,1
Masego,45,1
John Williams,45,1
BLOND:ISH,45,1
Armand Van Helden,45,1
Aya Nakamura,45,1
Father John Misty,45,1
A Boogie Wit da Hoodie,45,1
Pusha T,45,1
Ana Mena,45,1
Gigi D'Agostino,45,1
Gloria Estefan,45,1
LF SYSTEM,45,1
Offset,45,1
Alle Farben,45,1
Tom Jones,45,1
The Human League,45,1
Lola Young,45,1
Counting Crows,45,1
BIA,45,1
Ray Charles,44,1
Angus & Julia Stone,44,1
Chayanne,44,1
Nancy Sinatra,44,1
Faith Evans,44,1
Air,44,1
Yebba,44,1
Nu,44,1
Mufasa & Hypeman,44,1
Mufasa,44,1
Kodaline,44,1
KALEO,44,1
MAX,44,1
Majestic,44,1
MORTEN,44,1
Hombres G,44,1
Tokischa,44,1
Tommy Richman,44,1
HAYLA,44,1
d4vd,44,1
Aaron Smith,43,1
Dakota,43,1
José González,43,1
George Benson,43,1
Tom Misch,43,1
Wale,43,1
Modjo,43,1
Alina Baraz,43,1
Patrick Watson,43,1
Yo-Yo Ma,43,1
Nicky Romero,43,1
Irene Cara,43,1
6LACK,43,1
Sérgio Mendes,43,1
Taio Cruz,43,1
Tom Grennan,43,1
PinkPantheress,43,1
Bazzi,43,1
Two Feet,43,1
Mustard,43,1
Omar Montes,43,1
Andrés Calamaro,43,1
Village People,43,1
Arash,43,1
Mousse T.,43,1
Gala,43,1
Mora,43,1
Celia Cruz,43,1
Gesaffelstein,43,1
Sky Rompiendo,43,1
Lenny Tavárez,43,1
Barry White,43,1
Vampire Weekend,43,1
Guy-Manuel de Homem-Christo,43,1
Simon & Garfunkel,42,1
Lynyrd Skynyrd,42,1
Krono,42,1
Hardwell,42,1
Matoma,42,1
Obongjayar,42,1
Azealia Banks,42,1
YG,42,1
Enya,42,1
Andy Williams,42,1
Benjamin Diamond,42,1
Caribou,42,1
Arcade Fire,42,1
Mýa,42,1
LCD Soundsystem,42,1
Joe Cocker,42,1
BØRNS,42,1
Skylar Grey,42,1
Whethan,42,1
Phoebe Bridgers,42,1
24kGoldn,42,1
Fedde Le Grand,42,1
Silk Sonic,42,1
Jung Kook,42,1
Toni Braxton,42,1
Ben E. King,42,1
Carla Morrison,42,1
Jazzy,42,1
Haddaway,42,1
Dubdogz,42,1
Young Miko,42,1
Zion,42,1
Sasha Alex Sloan,42,1
Sheryl Crow,42,1
Cesária Evora,41,1
Caetano Veloso,41,1
Kid Francescoli,41,1
Luvli,41,1
Paul Simon,41,1
Fetty Wap,41,1
Hippie Sabotage,41,1
Culture Club,41,1
SAULT,41,1
Emeli Sandé,41,1
Kiesza,41,1
Joy Division,41,1
Little Simz,41,1
Kenny Loggins,41,1
Stardust,41,1
WhoMadeWho,41,1
Dopamine,41,1
LMFAO,41,1
Noah Cyrus,41,1
Lukas Graham,41,1
Alejandro Fernández,41,1
Corona,41,1
LP Giobbi,41,1
The Emotions,41,1
Melendi,41,1
Chris Stapleton,41,1
Crowded House,41,1
Carla Bruni,40,1
W&W,40,1
Roberta Flack,40,1
Mura Masa,40,1
Sara Bareilles,40,1
Pentatonix,40,1
Wolfgang Amadeus Mozart,40,1
TOKiMONSTA,40,1
Mumford & Sons,40,1
Route 94,40,1
Fat Joe,40,1
Cults,40,1
Men I Trust,40,1
Tinlicker,40,1
Dynoro,40,1
Oliver Tree,40,1
Edward Maya,40,1
Loud Luxury,40,1
Paloma Faith,40,1
TV Girl,40,1
Ice Spice,40,1
Nico & Vinz,40,1
Martin Jensen,40,1
Artemas,40,1
Jesse & Joy,40,1
José Feliciano,40,1
Soda Stereo,40,1
Rivo,40,1
Salif Keita,40,1
Kenya Grace,40,1
Laura Pausini,40,1
David Kushner,40,1
Bruno Martini,39,1
Francesco Yates,39,1
A Tribe Called Quest,39,1
Chicago,39,1
Yusuf / Cat Stevens,39,1
R. Kelly,39,1
Skepta,39,1
Tinie Tempah,39,1
Steve Angello,39,1
Oh Wonder,39,1
Yuna,39,1
LANY,39,1
Vince Staples,39,1
Arcane,39,1
Ruth B.,39,1
Alec Benjamin,39,1
ILLENIUM,39,1
Toploader,39,1
Kodak Black,39,1
Iggy Pop,39,1
Danna Paola,39,1
La Oreja de Van Gogh,39,1
Eliza Rose,39,1
Ludwig van Beethoven,39,1
LP,39,1
Calle 13,39,1
ATB,39,1
Julian Casablancas,39,1
Van Halen,38,1
Zaz,38,1
The Blaze,38,1
RAC,38,1
Hot Chip,38,1
D-Block Europe,38,1
Bad Gyal,38,1
Emilee,38,1
UB40,38,1
Curtis Mayfield,38,1
Keri Hilson,38,1
Gregory Porter,38,1
Ja Rule,38,1
Pretenders,38,1
Blood Orange,38,1
Rae Sremmurd,38,1
Cage The Elephant,38,1
Bryan Ferry,38,1
Gym Class Heroes,38,1
Jaymes Young,38,1
The Fray,38,1
Sandro Cavazza,38,1
Grey,38,1
Liam Payne,38,1
Logic,38,1
Trippie Redd,38,1
Snow,38,1
The Mamas & The Papas,38,1
PAWSA,38,1
Solomun,38,1
Robert Miles,38,1
Djo,38,1
ANOTR,38,1
Jay Wheeler,38,1
Carin Leon,38,1
Dalex,38,1
Lunay,38,1
fun.,38,1
BANKS,37,1
CHVRCHES,37,1
Carlos Baute,37,1
Charlotte Day Wilson,37,1
Sam Cooke,37,1
Ice Cube,37,1
FKA twigs,37,1
Plan B,37,1
Gavin James,37,1
